Label	ImageSource
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1106_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1206_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1206_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1206_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1206_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1306_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1406_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1506_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1506_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1506_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1506_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1606_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1606_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1606_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1706_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1806_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-1906_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2006_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_010422-2106_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-0906_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1006_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1106_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1206_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1306_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1406_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1406_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1406_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1506_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot18.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot19.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1606_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot19.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_020422-1706_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-1903_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_030322-2006_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot14.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot15.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot17.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot2.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot20.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot21.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot22.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot23.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot3.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot4.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot5.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot6.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot7.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot8.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-0906_spot9.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot0.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot1.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot10.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot11.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot12.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot13.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot16.png
Empty	C:\Users\Rocko\Desktop\FilteredSpots\Empty\Helena, MT_040322-1006_spot17.png
